LoanID,Branch,DisbursementDate,LoanType,SanctionedAmount,OutstandingAmount,DPD,InterestRate,CollateralCoverage,Status
LN-100053,Hajipur,2023-05-30,Home,2612684,1770208,0,9.38,1.6,Standard
LN-100054,Muzaffarpur,2020-07-26,Agri,459351,403842,0,8.96,0.97,Standard
LN-100055,Gaya,2019-08-15,Business,619580,376980,69,12.74,1.05,SMA-2
LN-100056,Bhagalpur,2019-07-05,Personal,197814,151449,0,13.37,0.0,Standard
LN-100057,Patna Main,2025-02-18,Home,815194,755743,0,9.93,1.33,Standard
LN-100058,Danapur,2019-12-10,Auto,673905,371456,0,10.5,1.09,Standard
LN-100059,Gaya,2023-06-25,Business,1262119,509709,0,11.04,1.23,Standard
LN-100060,Gaya,2020-09-27,Auto,544118,503082,0,11.53,1.15,Standard
LN-100061,Gaya,2024-10-02,Personal,309098,135030,81,14.47,0.0,SMA-2
LN-100062,Patna Main,2025-05-17,Business,1668596,1337747,0,12.65,1.32,Standard
LN-100063,Boring Road,2021-07-30,Personal,422866,323914,0,13.06,0.0,Standard
LN-100064,Patna Main,2024-01-23,Home,2312916,1332172,0,9.25,1.42,Standard
LN-100065,Boring Road,2019-10-15,Personal,306531,191327,0,14.32,0.0,Standard
LN-100066,Danapur,2021-12-23,Home,2787506,1100145,0,8.46,1.29,Standard
LN-100067,Hajipur,2024-05-16,Personal,291350,168848,0,14.53,0.0,Standard
LN-100068,Hajipur,2022-09-20,Personal,386992,274696,0,14.3,0.0,Standard
LN-100069,Bhagalpur,2019-09-06,Personal,375661,134292,0,13.54,0.0,Standard
LN-100070,Hajipur,2024-10-16,Personal,412904,265815,0,13.93,0.0,Standard
LN-100071,Bhagalpur,2022-06-30,Auto,424259,288261,0,10.04,1.26,Standard
LN-100072,Danapur,2022-01-05,Auto,1159725,1097988,0,10.15,1.06,Standard
LN-100073,Boring Road,2024-09-14,Home,2998090,1696116,0,9.41,1.31,Standard
LN-100074,Gaya,2024-07-06,Home,2839021,1264611,0,8.6,1.48,Standard
LN-100075,Muzaffarpur,2022-09-19,Home,2242673,947632,0,9.68,1.19,Standard
LN-100076,Boring Road,2022-04-02,Home,1620997,1444211,0,8.79,1.3,Standard
LN-100077,Patna Main,2019-07-17,Agri,717796,369732,477,8.67,0.93,NPA
LN-100078,Muzaffarpur,2024-09-23,Home,1424592,725740,0,9.57,1.32,Standard
LN-100079,Boring Road,2025-03-19,Auto,330420,240723,0,10.1,1.12,Standard
LN-100080,Bhagalpur,2022-03-18,Personal,286380,124044,0,13.1,0.0,Standard
LN-100081,Hajipur,2022-02-28,Agri,233495,139845,0,7.81,0.94,Standard
LN-100082,Boring Road,2020-11-16,Home,2826612,1658149,0,8.42,1.46,Standard
LN-100083,Bhagalpur,2022-09-25,Agri,621221,386270,0,7.85,1.15,Standard
LN-100084,Hajipur,2023-02-17,Personal,177971,96384,3,14.62,0.0,SMA-0
LN-100085,Danapur,2023-08-23,Home,884228,528476,0,8.75,1.5,Standard
LN-100086,Danapur,2023-01-15,Auto,365074,253569,0,10.19,0.98,Standard
LN-100087,Patna Main,2022-07-02,Business,3725929,2300817,0,11.25,1.33,Standard
LN-100088,Gaya,2024-06-29,Auto,1100787,697856,0,11.86,0.94,Standard
LN-100089,Danapur,2021-10-14,Agri,653502,609943,0,7.31,1.08,Standard
LN-100090,Boring Road,2024-02-17,Personal,407603,300978,449,14.1,0.0,NPA
LN-100091,Hajipur,2022-05-29,Home,1327021,1196909,0,9.06,1.59,Standard
LN-100092,Danapur,2024-11-18,Auto,1100948,431804,0,10.78,1.25,Standard
LN-100093,Danapur,2022-07-19,Home,804831,416228,15,8.95,1.46,SMA-0
LN-100094,Gaya,2019-03-31,Home,1836237,981356,51,8.16,1.27,SMA-1
LN-100095,Gaya,2019-05-20,Home,2579737,1253937,0,8.72,1.48,Standard
LN-100096,Bhagalpur,2024-08-29,Auto,307081,243662,0,11.94,0.96,Standard
LN-100097,Hajipur,2021-12-21,Auto,1159837,729617,0,10.22,1.19,Standard
LN-100098,Patna Main,2023-09-05,Personal,369867,179014,0,14.9,0.0,Standard
LN-100099,Patna Main,2020-08-04,Home,2450290,892340,0,8.37,1.36,Standard
LN-100100,Muzaffarpur,2019-11-22,Auto,1046622,826449,0,10.38,1.24,Standard
LN-100101,Muzaffarpur,2023-03-31,Personal,325145,120023,0,14.97,0.0,Standard
LN-100102,Danapur,2020-05-21,Auto,414250,249424,12,10.76,1.12,SMA-0
LN-100103,Danapur,2019-07-21,Business,3089556,1882990,0,11.75,1.27,Standard
LN-100104,Gaya,2024-04-27,Agri,302402,239621,0,7.5,0.86,Standard
LN-100105,Hajipur,2019-09-11,Personal,262217,218165,3,13.39,0.0,SMA-0
LN-100106,Muzaffarpur,2019-06-28,Home,2222160,1224371,0,9.85,1.3,Standard
LN-100107,Gaya,2024-03-22,Home,1074022,837031,16,9.58,1.59,SMA-0
LN-100108,Hajipur,2019-02-05,Agri,617444,400057,0,8.65,1.09,Standard
LN-100109,Boring Road,2023-01-22,Business,2480906,1343979,0,12.02,1.3,Standard
LN-100110,Muzaffarpur,2019-05-19,Auto,467706,181863,0,10.32,1.09,Standard
LN-100111,Gaya,2019-12-11,Auto,410332,208832,0,11.0,1.0,Standard
LN-100112,Danapur,2024-03-02,Personal,284337,122196,0,14.5,0.0,Standard
LN-100113,Muzaffarpur,2022-02-18,Business,1516403,798165,0,11.51,1.22,Standard
LN-100114,Danapur,2020-09-20,Home,2642967,1314094,0,8.65,1.31,Standard
LN-100115,Patna Main,2020-02-16,Auto,557896,272716,0,10.2,1.15,Standard
LN-100116,Hajipur,2023-03-12,Auto,1158891,717328,0,10.47,0.95,Standard
LN-100117,Hajipur,2020-12-29,Home,1614372,925588,0,9.55,1.38,Standard
LN-100118,Muzaffarpur,2019-06-03,Personal,53323,29851,50,13.68,0.0,SMA-1
LN-100119,Gaya,2019-02-16,Home,1869185,882377,90,9.36,1.53,SMA-2
LN-100120,Boring Road,2024-07-23,Home,2109443,778131,0,8.82,1.42,Standard
LN-100121,Hajipur,2020-11-01,Business,1796477,727019,0,11.82,1.16,Standard
LN-100122,Gaya,2025-05-09,Home,2090150,795963,0,8.83,1.56,Standard
LN-100123,Patna Main,2023-07-17,Business,3551619,2075703,0,11.87,1.09,Standard
LN-100124,Kankarbagh,2023-02-02,Home,1276218,757730,0,8.26,1.38,Standard
LN-100125,Muzaffarpur,2019-12-31,Home,1397674,1252144,0,9.47,1.43,Standard
LN-100126,Bhagalpur,2019-10-02,Home,2259386,1497285,0,9.51,1.24,Standard
LN-100127,Bhagalpur,2019-06-28,Business,2155422,1837229,0,11.63,1.37,Standard
LN-100128,Danapur,2020-10-18,Personal,383639,342410,0,14.24,0.0,Standard
LN-100129,Patna Main,2021-06-12,Personal,152819,70263,0,13.8,0.0,Standard
LN-100130,Patna Main,2021-02-27,Personal,251104,110405,0,14.77,0.0,Standard
LN-100131,Hajipur,2023-05-16,Business,819846,446424,0,12.3,1.24,Standard
LN-100132,Kankarbagh,2024-01-05,Auto,561366,418389,0,10.05,1.1,Standard
LN-100133,Kankarbagh,2024-02-21,Personal,306639,189531,0,14.62,0.0,Standard
LN-100134,Patna Main,2020-01-11,Auto,370381,225325,0,10.08,1.2,Standard
LN-100135,Gaya,2019-08-11,Home,2115861,1389886,0,9.31,1.51,Standard
LN-100136,Bhagalpur,2020-03-24,Business,716899,679387,0,11.58,1.09,Standard
LN-100137,Muzaffarpur,2021-06-24,Business,1885055,1475334,0,12.22,1.04,Standard
LN-100138,Bhagalpur,2024-02-13,Home,2158279,1111504,0,8.42,1.25,Standard
LN-100139,Kankarbagh,2021-03-25,Home,2922347,1675557,0,9.27,1.27,Standard
LN-100140,Patna Main,2021-12-18,Home,2174994,981456,0,9.27,1.24,Standard
LN-100141,Gaya,2020-03-04,Auto,775045,541002,0,11.48,1.02,Standard
LN-100142,Boring Road,2023-01-15,Auto,693991,483307,0,10.88,1.04,Standard
LN-100143,Muzaffarpur,2022-06-24,Home,1002549,661346,0,9.47,1.46,Standard
LN-100144,Patna Main,2023-01-31,Personal,166201,99822,74,13.26,0.0,SMA-2
LN-100145,Danapur,2024-11-12,Home,991191,527555,12,8.83,1.34,SMA-0
LN-100146,Patna Main,2024-04-29,Auto,440222,318878,0,11.87,0.99,Standard
LN-100147,Hajipur,2020-08-15,Home,1426264,553677,0,8.8,1.56,Standard
LN-100148,Bhagalpur,2022-12-05,Home,848217,714647,0,9.2,1.44,Standard
LN-100149,Patna Main,2019-06-30,Personal,308396,275121,0,14.06,0.0,Standard
LN-100150,Danapur,2020-03-05,Auto,549213,492669,0,10.28,0.94,Standard
LN-100151,Boring Road,2020-12-16,Home,2926294,1753279,0,8.6,1.4,Standard
LN-100152,Bhagalpur,2023-11-24,Home,2804563,992281,0,8.16,1.5,Standard
LN-100153,Patna Main,2021-08-09,Personal,141955,58651,0,13.25,0.0,Standard
LN-100154,Hajipur,2025-03-18,Business,2708708,1380338,0,11.59,1.26,Standard
LN-100155,Danapur,2021-08-25,Agri,327536,165806,36,8.89,1.1,SMA-1
LN-100156,Gaya,2021-09-06,Personal,221374,129111,0,14.82,0.0,Standard
LN-100157,Bhagalpur,2025-01-05,Personal,413249,353292,0,13.94,0.0,Standard
LN-100158,Hajipur,2021-08-15,Personal,53345,32665,0,14.58,0.0,Standard
LN-100159,Kankarbagh,2020-04-03,Auto,913765,337863,165,10.69,0.97,NPA
LN-100160,Boring Road,2019-10-05,Home,920513,672275,21,9.71,1.5,SMA-0
LN-100161,Gaya,2019-09-28,Business,2171951,1828214,0,11.21,1.34,Standard
LN-100162,Hajipur,2019-12-25,Home,1269635,1018569,506,8.95,1.54,NPA
LN-100163,Hajipur,2021-12-05,Home,1659804,916062,0,9.86,1.2,Standard
LN-100164,Hajipur,2024-08-25,Home,2343605,1901935,0,9.24,1.39,Standard
LN-100165,Danapur,2019-07-17,Home,2531915,1412983,34,9.43,1.42,SMA-1
LN-100166,Patna Main,2021-04-07,Business,2908450,1020224,0,11.01,1.12,Standard
LN-100167,Hajipur,2024-07-18,Auto,815358,689144,0,11.16,1.13,Standard
LN-100168,Boring Road,2020-11-10,Home,1700577,831440,0,8.98,1.24,Standard
LN-100169,Gaya,2022-12-27,Agri,688518,500387,0,8.78,0.88,Standard
LN-100170,Hajipur,2021-04-24,Personal,271317,99059,0,13.53,0.0,Standard
LN-100171,Kankarbagh,2021-08-14,Agri,625535,587656,0,8.06,1.13,Standard
LN-100172,Bhagalpur,2020-09-28,Business,784240,428192,0,12.32,1.33,Standard
LN-100173,Danapur,2021-11-19,Personal,138893,106036,0,13.25,0.0,Standard
LN-100174,Kankarbagh,2022-05-19,Auto,1030400,479079,0,11.45,1.18,Standard
LN-100175,Danapur,2021-08-25,Agri,442425,247395,0,7.52,0.95,Standard
LN-100176,Kankarbagh,2021-03-11,Agri,206751,153976,0,8.59,0.97,Standard
LN-100177,Hajipur,2020-03-13,Personal,278024,115538,0,13.41,0.0,Standard
LN-100178,Hajipur,2024-08-11,Auto,335579,257075,314,10.93,1.26,NPA
LN-100179,Gaya,2025-06-09,Home,2497490,1518516,28,9.69,1.44,SMA-0
LN-100180,Kankarbagh,2021-07-25,Personal,392090,319329,0,14.28,0.0,Standard
LN-100181,Gaya,2023-09-15,Auto,628219,483974,0,11.43,1.01,Standard
LN-100182,Gaya,2019-03-22,Personal,181103,115842,0,14.04,0.0,Standard
LN-100183,Gaya,2019-02-13,Personal,145977,79825,0,14.66,0.0,Standard
LN-100184,Boring Road,2021-03-29,Agri,211547,164949,36,8.69,1.01,SMA-1
LN-100185,Gaya,2023-02-24,Auto,514939,338477,0,11.48,1.11,Standard
LN-100186,Muzaffarpur,2020-05-16,Auto,1017603,669863,0,11.28,1.18,Standard
LN-100187,Muzaffarpur,2023-09-11,Home,2401539,859715,0,9.16,1.57,Standard
LN-100188,Gaya,2024-11-28,Home,2072951,1894592,0,8.92,1.6,Standard
LN-100189,Danapur,2024-04-05,Home,1088966,795576,0,9.63,1.46,Standard
LN-100190,Bhagalpur,2025-02-23,Home,2533449,1334128,0,8.71,1.46,Standard
LN-100191,Bhagalpur,2023-10-12,Business,2743319,2091701,0,11.01,1.26,Standard
LN-100192,Bhagalpur,2022-08-05,Personal,197435,146623,0,13.97,0.0,Standard
LN-100193,Gaya,2022-05-26,Personal,94785,53787,0,13.11,0.0,Standard
LN-100194,Patna Main,2022-11-14,Business,3223788,1399901,0,12.31,1.25,Standard
LN-100195,Danapur,2020-02-20,Home,1101988,551012,0,8.37,1.43,Standard
LN-100196,Boring Road,2024-12-29,Auto,1123011,1002234,0,11.34,0.99,Standard
LN-100197,Bhagalpur,2024-12-14,Business,2991783,2290735,0,12.34,1.05,Standard
LN-100198,Patna Main,2020-07-24,Home,1296700,636038,0,8.97,1.39,Standard
LN-100199,Muzaffarpur,2019-01-28,Agri,615241,276102,0,7.94,0.9,Standard
LN-100200,Gaya,2023-10-11,Personal,398809,251033,0,15.0,0.0,Standard
LN-100201,Patna Main,2019-04-27,Personal,144643,105832,0,14.22,0.0,Standard
LN-100202,Bhagalpur,2024-06-06,Personal,223254,90727,0,14.51,0.0,Standard
LN-100203,Muzaffarpur,2022-10-18,Home,1694904,1229088,0,8.68,1.23,Standard
LN-100204,Hajipur,2021-10-27,Business,2267691,1258961,0,11.59,1.22,Standard
LN-100205,Danapur,2024-09-05,Business,3886730,3655750,0,12.31,1.14,Standard
LN-100206,Boring Road,2020-06-06,Business,3275759,2548241,0,12.57,1.23,Standard
LN-100207,Patna Main,2022-05-15,Home,2503009,950692,0,8.38,1.24,Standard
LN-100208,Gaya,2024-08-13,Agri,738253,285032,0,8.23,1.12,Standard
LN-100209,Danapur,2019-12-06,Personal,415116,363556,0,13.08,0.0,Standard
LN-100210,Patna Main,2021-01-12,Personal,377825,155217,0,13.84,0.0,Standard
LN-100211,Hajipur,2022-06-21,Home,856314,722358,0,9.72,1.43,Standard
LN-100212,Patna Main,2025-06-26,Home,943616,574101,0,9.0,1.58,Standard
LN-100213,Bhagalpur,2023-07-16,Personal,482409,370214,385,13.13,0.0,NPA
LN-100214,Bhagalpur,2020-09-28,Personal,361355,329784,0,14.54,0.0,Standard
LN-100215,Patna Main,2020-09-13,Personal,93476,44622,0,13.85,0.0,Standard
LN-100216,Kankarbagh,2021-06-12,Home,1310324,1133535,0,8.94,1.56,Standard
LN-100217,Kankarbagh,2019-07-25,Home,1816155,1446612,0,9.46,1.34,Standard
LN-100218,Patna Main,2021-11-06,Home,2889169,2627433,0,9.43,1.57,Standard
LN-100219,Hajipur,2019-11-23,Home,861780,656662,0,9.46,1.35,Standard
LN-100220,Bhagalpur,2025-06-13,Home,2839809,1532837,0,9.35,1.5,Standard
LN-100221,Bhagalpur,2023-09-08,Home,1289497,950273,0,9.89,1.39,Standard
LN-100222,Patna Main,2022-09-22,Business,3300834,1275385,0,12.66,1.33,Standard
LN-100223,Gaya,2021-10-05,Personal,211794,198204,0,13.77,0.0,Standard
LN-100224,Muzaffarpur,2022-03-06,Auto,1108919,925381,0,10.53,1.16,Standard
LN-100225,Kankarbagh,2019-06-23,Auto,915139,739427,0,11.62,1.03,Standard
LN-100226,Bhagalpur,2025-02-21,Business,1733117,1491710,0,11.69,1.27,Standard
LN-100227,Patna Main,2021-08-16,Home,2833241,1332355,0,9.36,1.32,Standard
LN-100228,Bhagalpur,2019-02-08,Auto,516621,362582,0,11.08,1.2,Standard
LN-100229,Hajipur,2024-11-04,Personal,236177,115661,0,14.77,0.0,Standard
LN-100230,Danapur,2021-05-21,Personal,299868,141274,0,13.18,0.0,Standard
LN-100231,Kankarbagh,2023-07-07,Business,2930988,2018450,0,11.49,1.3,Standard
LN-100232,Kankarbagh,2024-03-13,Agri,617229,255330,0,7.63,1.09,Standard
LN-100233,Bhagalpur,2019-05-18,Home,1976703,716243,0,9.17,1.28,Standard
LN-100234,Patna Main,2020-06-20,Home,1973668,1811629,0,8.68,1.3,Standard
LN-100235,Boring Road,2024-02-21,Agri,496573,283931,18,8.73,1.0,SMA-0
LN-100236,Danapur,2022-07-29,Personal,112870,45597,0,14.28,0.0,Standard
LN-100237,Danapur,2020-10-16,Agri,631104,390657,0,8.98,0.96,Standard
LN-100238,Patna Main,2019-08-31,Home,962032,879971,0,9.67,1.57,Standard
LN-100239,Kankarbagh,2024-06-03,Home,2953080,2179408,0,8.64,1.21,Standard
LN-100240,Boring Road,2023-12-13,Home,1634463,865081,0,8.94,1.51,Standard
LN-100241,Kankarbagh,2020-11-21,Auto,708995,452897,0,11.83,1.08,Standard
LN-100242,Danapur,2019-05-28,Business,4425014,2066757,0,11.16,1.08,Standard
LN-100243,Boring Road,2024-01-06,Personal,245609,106559,0,14.85,0.0,Standard
LN-100244,Danapur,2022-10-23,Auto,322791,200582,0,10.96,1.04,Standard
LN-100245,Bhagalpur,2021-01-08,Personal,124851,98837,0,14.11,0.0,Standard
LN-100246,Hajipur,2020-09-29,Home,1426595,851776,0,8.67,1.2,Standard
LN-100247,Patna Main,2024-05-30,Home,2859432,1783459,0,9.26,1.24,Standard
LN-100248,Danapur,2020-05-03,Business,2271326,1933283,0,12.94,1.11,Standard
LN-100249,Gaya,2020-02-04,Auto,574226,519702,0,11.79,1.06,Standard
LN-100250,Muzaffarpur,2023-12-16,Home,2031130,1490617,0,9.02,1.53,Standard
LN-100251,Patna Main,2021-01-31,Auto,1127918,751139,0,11.82,1.05,Standard
LN-100252,Danapur,2021-08-01,Home,1557853,713618,0,9.2,1.49,Standard
LN-100253,Danapur,2020-07-15,Business,4656390,2119546,0,12.17,1.24,Standard
LN-100254,Muzaffarpur,2019-08-15,Home,1075546,711729,0,8.67,1.41,Standard
LN-100255,Muzaffarpur,2021-12-26,Business,4635727,2948177,55,11.07,1.11,SMA-1
LN-100256,Bhagalpur,2024-10-30,Personal,351423,123976,0,14.94,0.0,Standard
LN-100257,Gaya,2022-08-07,Home,2296184,1928614,0,9.15,1.52,Standard
LN-100258,Patna Main,2024-07-19,Business,2945628,2717139,0,12.06,1.18,Standard
LN-100259,Kankarbagh,2021-01-17,Personal,60846,24530,0,13.21,0.0,Standard
LN-100260,Bhagalpur,2019-03-14,Home,926137,432553,469,9.05,1.54,NPA
LN-100261,Patna Main,2021-01-03,Personal,103930,42231,0,13.55,0.0,Standard
LN-100262,Kankarbagh,2020-05-14,Auto,914362,473433,0,11.08,0.98,Standard
LN-100263,Patna Main,2023-06-13,Home,1752246,1215542,0,9.88,1.26,Standard
LN-100264,Patna Main,2019-05-29,Auto,740909,527286,0,11.55,1.07,Standard
LN-100265,Muzaffarpur,2025-04-30,Auto,552053,430224,0,11.63,1.2,Standard
LN-100266,Gaya,2022-12-18,Business,949236,415744,0,12.33,1.11,Standard
LN-100267,Patna Main,2023-11-09,Home,1257285,492301,0,8.45,1.27,Standard
LN-100268,Patna Main,2019-07-11,Auto,716338,653415,0,10.07,1.2,Standard
LN-100269,Patna Main,2025-01-30,Personal,189341,137098,0,14.24,0.0,Standard
LN-100270,Kankarbagh,2022-06-04,Home,2982317,1558302,2,8.24,1.34,SMA-0
LN-100271,Kankarbagh,2024-12-26,Personal,319368,127966,0,13.88,0.0,Standard
LN-100272,Danapur,2022-01-27,Personal,203930,142018,0,14.47,0.0,Standard
LN-100273,Danapur,2025-05-24,Personal,200558,143594,0,14.3,0.0,Standard
LN-100274,Hajipur,2024-05-11,Home,2338528,1587435,0,8.06,1.39,Standard
LN-100275,Muzaffarpur,2023-06-12,Auto,497975,288777,0,10.32,0.94,Standard
LN-100276,Danapur,2022-03-12,Agri,439688,283530,0,7.59,1.11,Standard
LN-100277,Patna Main,2022-11-26,Business,1830153,1305914,0,12.03,1.18,Standard
LN-100278,Kankarbagh,2021-07-11,Business,3470517,1442161,0,11.83,1.38,Standard
LN-100279,Boring Road,2022-02-07,Personal,123571,88944,0,14.48,0.0,Standard
LN-100280,Gaya,2020-06-05,Personal,448298,229174,0,14.74,0.0,Standard
LN-100281,Hajipur,2025-05-31,Home,1292611,1199085,0,9.75,1.25,Standard
LN-100282,Muzaffarpur,2022-03-25,Personal,248999,190630,0,13.59,0.0,Standard
LN-100283,Bhagalpur,2019-01-28,Auto,882328,651970,0,10.76,1.19,Standard
LN-100284,Danapur,2025-06-14,Auto,862953,377106,0,10.18,1.06,Standard
LN-100285,Danapur,2021-09-20,Agri,439599,314248,0,8.94,1.14,Standard
LN-100286,Gaya,2025-01-06,Business,589693,382358,29,12.03,1.3,SMA-0
LN-100287,Muzaffarpur,2019-06-16,Personal,409256,257237,0,13.91,0.0,Standard
LN-100288,Kankarbagh,2023-03-14,Home,1086340,444726,0,9.76,1.4,Standard
LN-100289,Boring Road,2022-11-07,Agri,610355,494630,0,7.34,1.06,Standard
LN-100290,Hajipur,2020-03-28,Auto,378734,249039,0,11.38,1.15,Standard
LN-100291,Danapur,2020-10-02,Business,4768797,2873354,0,12.01,1.21,Standard
LN-100292,Patna Main,2020-03-12,Home,1565082,1078296,0,9.38,1.34,Standard
LN-100293,Gaya,2019-01-17,Home,811656,620445,0,9.68,1.58,Standard
LN-100294,Kankarbagh,2021-12-25,Personal,400280,272971,25,14.15,0.0,SMA-0
LN-100295,Boring Road,2024-09-17,Auto,427403,282537,0,10.15,0.97,Standard
LN-100296,Muzaffarpur,2019-09-12,Agri,614249,440909,0,7.29,1.05,Standard
LN-100297,Boring Road,2020-02-12,Home,1955311,997142,0,8.7,1.55,Standard
LN-100298,Danapur,2019-06-29,Auto,704390,492789,13,10.5,1.08,SMA-0
LN-100299,Hajipur,2024-02-09,Home,1527842,1358741,0,9.92,1.32,Standard
LN-100300,Gaya,2021-06-25,Auto,370806,216505,0,11.75,1.07,Standard
LN-100301,Kankarbagh,2020-11-27,Auto,1131265,455311,0,10.02,1.05,Standard
LN-100302,Muzaffarpur,2024-12-26,Business,3822114,1601205,0,11.81,1.33,Standard
LN-100303,Danapur,2025-03-18,Home,1317112,1182499,0,8.93,1.29,Standard
LN-100304,Boring Road,2021-09-17,Auto,756735,630302,71,10.39,1.17,SMA-2
LN-100305,Kankarbagh,2021-09-10,Personal,462856,382765,57,13.74,0.0,SMA-1
LN-100306,Bhagalpur,2021-05-02,Home,2499331,2311986,0,9.01,1.31,Standard
LN-100307,Bhagalpur,2021-12-04,Home,2698728,2470017,0,9.18,1.44,Standard
LN-100308,Boring Road,2020-05-29,Auto,558212,366252,0,11.36,1.22,Standard
LN-100309,Kankarbagh,2019-04-28,Home,1934178,1564533,0,8.62,1.47,Standard
LN-100310,Boring Road,2021-08-06,Auto,390216,318292,0,10.14,1.04,Standard
LN-100311,Hajipur,2022-06-28,Agri,624671,290906,0,7.25,0.88,Standard
LN-100312,Kankarbagh,2024-03-17,Personal,198040,169645,0,14.87,0.0,Standard
LN-100313,Patna Main,2022-12-10,Home,2337555,1748880,0,9.32,1.57,Standard
LN-100314,Kankarbagh,2020-02-05,Personal,180244,106401,0,13.58,0.0,Standard
LN-100315,Gaya,2019-06-13,Home,1719357,643506,0,8.4,1.45,Standard
